seqnames,start,end,width,strand,V4,V5,V6,V7,V8,V9,V10,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME
chr1,7088708,7088969,262,*,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8_peak_1,298,.,10.02621,34.94323,29.82277,146,Promoter (<=1kb),1,7088920,7173628,84709,1,319263,ENSMUST00000061280.16,0,ENSMUSG00000051285,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
chr1,9545264,9545429,166,*,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8_peak_2,94,.,5.40618,13.84121,9.47009,69,Promoter (<=1kb),1,9545408,9547455,2048,1,59014,ENSMUST00000072079.8,0,ENSMUSG00000061024,Rrs1,ribosome biogenesis regulator 1
chr1,9748337,9748645,309,*,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8_peak_3,213,.,8.73139,26.17328,21.35613,170,Promoter (<=1kb),1,9718622,9748382,29761,2,70675,ENSMUST00000057438.6,0,ENSMUSG00000045210,Vcpip1,valosin containing protein (p97)/p47 complex interacting protein 1
chr1,13593444,13593593,150,*,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8_peak_4,80,.,5.22198,12.30892,8.00841,70,Promoter (3-4kb),1,13564698,13589910,25213,2,72265,ENSMUST00000027068.10,-3534,ENSMUSG00000025935,Tram1,translocating chain-associating membrane protein 1
chr1,13660509,13660663,155,*,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8_peak_5,140,.,5.73426,18.58482,14.02153,75,Promoter (<=1kb),1,13623330,13660546,37217,2,212442,ENSMUST00000027071.6,0,ENSMUSG00000025937,Lactb2,"lactamase, beta 2"
chr1,16656962,16657172,211,*,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8_peak_6,54,.,3.90005,9.64852,5.48898,126,Promoter (<=1kb),1,16642767,16657042,14276,2,67923,ENSMUST00000115352.9,0,ENSMUSG00000079658,Eloc,elongin C
chr1,20740643,20740795,153,*,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8_peak_7,50,.,4.27509,9.17785,5.04601,76,Distal Intergenic,1,20730905,20734496,3592,1,16171,ENSMUST00000027061.4,9738,ENSMUSG00000025929,Il17a,interleukin 17A
chr1,20820300,20820450,151,*,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8_peak_8,79,.,5.05238,12.27573,7.97657,96,Promoter (<=1kb),1,20802968,20820312,17345,2,17215,ENSMUST00000053266.10,0,ENSMUSG00000041859,Mcm3,minichromosome maintenance complex component 3
chr1,24005548,24005719,172,*,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8_peak_9,52,.,3.92344,9.44199,5.29432,91,Promoter (<=1kb),1,23995939,24005656,9718,2,68002,ENSMUST00000027338.3,0,ENSMUSG00000026154,Sdhaf4,succinate dehydrogenase complex assembly factor 4
chr1,24611656,24611959,304,*,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8_peak_10,101,.,1.95609,14.52138,10.12204,212,"Exon (ENSMUST00000187714.1/ENSMUST00000187714.1, exon 1 of 1)",1,24263994,24587472,323479,2,12823,ENSMUST00000115244.8,-24184,ENSMUSG00000026141,Col19a1,"collagen, type XIX, alpha 1"
chr1,24612315,24612574,260,*,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8_peak_11,167,.,2.18277,21.39333,16.73013,111,"Exon (ENSMUST00000187714.1/ENSMUST00000187714.1, exon 1 of 1)",1,24263994,24587472,323479,2,12823,ENSMUST00000115244.8,-24843,ENSMUSG00000026141,Col19a1,"collagen, type XIX, alpha 1"
chr1,24613220,24614058,839,*,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8_peak_12a,148,.,2.10774,19.42837,14.83303,162,"Exon (ENSMUST00000190277.1/ENSMUST00000190277.1, exon 1 of 1)",1,24263994,24587472,323479,2,12823,ENSMUST00000115244.8,-25748,ENSMUSG00000026141,Col19a1,"collagen, type XIX, alpha 1"
chr1,24613220,24614058,839,*,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8_peak_12b,193,.,2.26168,24.06214,19.31059,531,"Exon (ENSMUST00000190277.1/ENSMUST00000190277.1, exon 1 of 1)",1,24263994,24587472,323479,2,12823,ENSMUST00000115244.8,-25748,ENSMUSG00000026141,Col19a1,"collagen, type XIX, alpha 1"
chr1,24614191,24614642,452,*,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8_peak_13,137,.,2.06956,18.26884,13.72464,163,"Exon (ENSMUST00000189941.1/ENSMUST00000189941.1, exon 1 of 1)",1,24263994,24587472,323479,2,12823,ENSMUST00000115244.8,-26719,ENSMUSG00000026141,Col19a1,"collagen, type XIX, alpha 1"
chr1,24614696,24615477,782,*,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8_peak_14,123,.,2.01882,16.80489,12.31042,451,"Exon (ENSMUST00000188231.1/ENSMUST00000188231.1, exon 1 of 1)",1,24263994,24587472,323479,2,12823,ENSMUST00000115244.8,-27224,ENSMUSG00000026141,Col19a1,"collagen, type XIX, alpha 1"
chr1,24615728,24616172,445,*,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8_peak_15,159,.,2.14917,20.58638,15.95184,282,"Exon (ENSMUST00000187117.1/ENSMUST00000187117.1, exon 1 of 1)",1,24263994,24587472,323479,2,12823,ENSMUST00000115244.8,-28256,ENSMUSG00000026141,Col19a1,"collagen, type XIX, alpha 1"
