seqnames,start,end,width,strand,V4,V5,V6,V7,V8,V9,V10,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME
chr1,4671620,4672118,499,*,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV_peak_1,36,.,5.38356,7.29948,3.65577,82,Distal Intergenic,1,4783572,4785692,2121,2,27395,ENSMUST00000132625.1,113574,ENSMUSG00000033845,Mrpl15,mitochondrial ribosomal protein L15
chr1,6453981,6454618,638,*,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV_peak_2a,88,.,7.89149,12.81078,8.8774,125,Distal Intergenic,1,6487231,6860934,373704,1,240690,ENSMUST00000140079.7,-32613,ENSMUSG00000033740,St18,suppression of tumorigenicity 18
chr1,6453981,6454618,638,*,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV_peak_2b,209,.,12.96459,25.29259,20.94867,387,Distal Intergenic,1,6487231,6860934,373704,1,240690,ENSMUST00000140079.7,-32613,ENSMUSG00000033740,St18,suppression of tumorigenicity 18
chr1,6713369,6713563,195,*,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV_peak_3,25,.,4.71061,6.07998,2.52683,137,"Intron (ENSMUST00000140079.7/240690, intron 2 of 23)",1,6730051,6860940,130890,1,240690,ENSMUST00000043578.12,-16488,ENSMUSG00000033740,St18,suppression of tumorigenicity 18
chr1,6834558,6834724,167,*,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV_peak_4,32,.,5.0731,6.86223,3.24748,73,Promoter (6-7kb),1,6827897,6848984,21088,1,240690,ENSMUST00000151015.1,6661,ENSMUSG00000033740,St18,suppression of tumorigenicity 18
chr1,7100580,7100887,308,*,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV_peak_5,270,.,16.15067,31.51584,27.01031,148,"Intron (ENSMUST00000061280.16/319263, intron 1 of 5)",1,7089166,7172122,82957,1,319263,ENSMUST00000182823.1,11414,ENSMUSG00000051285,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
chr1,7455064,7455234,171,*,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV_peak_6,53,.,6.20046,9.13198,5.37104,81,Distal Intergenic,1,7160557,7172659,12103,1,319263,ENSMUST00000183204.1,294507,ENSMUSG00000051285,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
chr1,9833519,9833733,215,*,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV_peak_7,144,.,9.881,18.60249,14.4579,127,"Intron (ENSMUST00000166384.7/170755, intron 1 of 16)",1,9848272,9900843,52572,1,170755,ENSMUST00000171265.7,-14539,ENSMUSG00000025915,Sgk3,serum/glucocorticoid regulated kinase 3
chr1,9847031,9847236,206,*,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV_peak_8,380,.,20.34893,42.85078,38.0881,106,Promoter (1-2kb),1,9848272,9900843,52572,1,170755,ENSMUST00000171265.7,-1036,ENSMUSG00000025915,Sgk3,serum/glucocorticoid regulated kinase 3
chr1,13155366,13155744,379,*,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV_peak_9,801,.,27.07872,85.79928,80.15607,179,Promoter (4-5kb),1,13148429,13151018,2590,2,17978,ENSMUST00000133232.1,-4348,ENSMUSG00000005886,Ncoa2,nuclear receptor coactivator 2
chr1,13161586,13161755,170,*,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV_peak_10,91,.,7.85218,13.09873,9.14834,82,"Intron (ENSMUST00000081713.10/17978, intron 13 of 21)",1,13148429,13151018,2590,2,17978,ENSMUST00000133232.1,-10568,ENSMUSG00000005886,Ncoa2,nuclear receptor coactivator 2
chr1,13162347,13162697,351,*,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV_peak_11,173,.,10.75836,21.59546,17.35905,253,"Intron (ENSMUST00000081713.10/17978, intron 12 of 21)",1,13148429,13151018,2590,2,17978,ENSMUST00000133232.1,-11329,ENSMUSG00000005886,Ncoa2,nuclear receptor coactivator 2
chr1,13559441,13559622,182,*,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV_peak_12,115,.,8.89913,15.61781,11.57057,82,Distal Intergenic,1,13576144,13579798,3655,2,72265,ENSMUST00000185447.1,20176,ENSMUSG00000025935,Tram1,translocating chain-associating membrane protein 1
chr1,13752494,13752910,417,*,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV_peak_13,875,.,37.69734,93.3958,87.59593,262,Distal Intergenic,1,13785883,13786879,997,2,433273,ENSMUST00000180415.1,33969,ENSMUSG00000097711,Gm5523,glyceraldehyde-3-phosphate dehydrogenase pseudogene
chr1,14746898,14747164,267,*,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV_peak_14,88,.,7.89149,12.81078,8.8774,91,Promoter (8-9kb),1,14753746,14755353,1608,2,17681,ENSMUST00000190719.1,8189,ENSMUSG00000025930,Msc,musculin
