seqnames,start,end,width,strand,V4,V5,V6,V7,V8,V9,V10,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME
chr1,4491956,4492102,147,*,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT_peak_1,65,.,6.73321,10.57406,6.51224,93,Promoter (1-2kb),1,4492465,4493735,1271,2,20671,ENSMUST00000191939.1,1633,ENSMUSG00000025902,Sox17,SRY (sex determining region Y)-box 17
chr1,4785530,4785849,320,*,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT_peak_2,373,.,15.93362,42.86314,37.36073,201,Promoter (<=1kb),1,4773206,4785710,12505,2,27395,ENSMUST00000130201.7,0,ENSMUSG00000033845,Mrpl15,mitochondrial ribosomal protein L15
chr1,4807657,4807810,154,*,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT_peak_3,65,.,6.73321,10.57406,6.51224,74,Promoter (<=1kb),1,4807788,4848410,40623,1,18777,ENSMUST00000134384.7,0,ENSMUSG00000025903,Lypla1,lysophospholipase 1
chr1,4857698,4857844,147,*,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT_peak_4,55,.,5.69058,9.57397,5.58489,76,Promoter (<=1kb),1,4857814,4897905,40092,1,21399,ENSMUST00000081551.13,0,ENSMUSG00000033813,Tcea1,transcription elongation factor A (SII) 1
chr1,5083256,5083428,173,*,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT_peak_5,86,.,7.46863,12.86219,8.69069,72,Promoter (<=1kb),1,5083164,5099777,16614,1,108664,ENSMUST00000192142.1,92,ENSMUSG00000033793,Atp6v1h,"ATPase, H+ transporting, lysosomal V1 subunit H"
chr1,6214562,6215172,611,*,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT_peak_6,270,.,15.02023,32.2412,27.09116,236,Promoter (<=1kb),1,6214645,6276648,62004,1,12421,ENSMUST00000027040.12,0,ENSMUSG00000025907,Rb1cc1,RB1-inducible coiled-coil 1
chr1,7088927,7089204,278,*,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT_peak_7,171,.,11.21345,21.82085,17.15121,182,Promoter (<=1kb),1,7088930,7169598,80669,1,319263,ENSMUST00000182114.7,0,ENSMUSG00000051285,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
chr1,7398139,7398507,369,*,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT_peak_8a,87,.,7.76908,12.96243,8.75012,82,Distal Intergenic,1,7160557,7172659,12103,1,319263,ENSMUST00000183204.1,237582,ENSMUSG00000051285,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
chr1,7398139,7398507,369,*,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT_peak_8b,33,.,4.93949,7.11049,3.33916,290,Distal Intergenic,1,7160557,7172659,12103,1,319263,ENSMUST00000183204.1,237582,ENSMUSG00000051285,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
chr1,9700603,9700780,178,*,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT_peak_9,111,.,8.80496,15.46229,11.10397,86,Promoter (<=1kb),1,9667415,9700209,32795,2,17864,ENSMUST00000088658.10,-394,ENSMUSG00000025912,Mybl1,myeloblastosis oncogene-like 1
chr1,9943983,9944187,205,*,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT_peak_10,76,.,7.25115,11.75339,7.61539,99,Promoter (<=1kb),1,9941959,9944118,2160,2,73824,ENSMUST00000182580.7,0,ENSMUSG00000098234,Snhg6,small nucleolar RNA host gene 6
chr1,10039842,10040137,296,*,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT_peak_11,187,.,11.9126,23.51662,18.74017,145,Promoter (<=1kb),1,10040155,10058823,18669,1,211660,ENSMUST00000155974.7,-18,ENSMUSG00000056763,Cspp1,centrosome and spindle pole associated protein 1
chr1,10232818,10233199,382,*,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT_peak_12,123,.,9.3229,16.74998,12.3224,194,Promoter (<=1kb),1,10173075,10232670,59596,2,211673,ENSMUST00000131556.1,-148,ENSMUSG00000067851,Arfgef1,ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)
chr1,12198664,12198890,227,*,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT_peak_13,15,.,4.07762,5.10964,1.5681,72,Distal Intergenic,1,12425986,12426106,121,1,102465961,ENSMUST00000183490.1,-227096,ENSMUSG00000098555,Mir6341,microRNA 6341
chr1,12644782,12644928,147,*,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT_peak_14,44,.,5.69733,8.31348,4.40851,70,Distal Intergenic,1,12667563,12673090,5528,1,329096,ENSMUST00000181272.1,-22635,ENSMUSG00000097171,Gm17644,"predicted gene, 17644"
