seqnames,start,end,width,strand,V4,V5,V6,V7,V8,V9,V10,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME
chr1,12644708,12644854,147,*,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8_peak_1,82,.,8.34159,13.4888,8.22717,99,Distal Intergenic,1,12667563,12673090,5528,1,329096,ENSMUST00000181272.1,-22709,ENSMUSG00000097171,Gm17644,"predicted gene, 17644"
chr1,16228052,16228255,204,*,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8_peak_2,37,.,5.92561,8.48693,3.73769,84,Downstream (<1kb),1,16130502,16132547,2046,1,98711,ENSMUST00000152626.1,97550,ENSMUSG00000025921,Rdh10,retinol dehydrogenase 10 (all-trans)
chr1,16747253,16747583,331,*,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8_peak_3,79,.,6.95757,13.19086,7.96171,224,Distal Intergenic,1,16688508,16709537,21030,1,17087,ENSMUST00000190366.1,58745,ENSMUSG00000025779,Ly96,lymphocyte antigen 96
chr1,20766622,20767020,399,*,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8_peak_4,83,.,6.06641,13.58947,8.31585,146,Distal Intergenic,1,20777679,20779554,1876,2,257630,ENSMUST00000191111.1,12534,ENSMUSG00000041872,Il17f,interleukin 17F
chr1,33942807,33942955,149,*,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8_peak_5,31,.,5.48676,7.83732,3.15645,102,"Intron (ENSMUST00000183034.4/13518, intron 2 of 102)",1,33908225,34307592,399368,1,13518,ENSMUST00000183034.4,34582,ENSMUSG00000026131,Dst,dystonin
chr1,37327265,37327718,454,*,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8_peak_6,170,.,9.70421,23.05536,17.00167,231,"Intron (ENSMUST00000146676.1/269180, intron 1 of 1)",1,37300308,37408733,108426,1,269180,ENSMUST00000136846.7,26957,ENSMUSG00000026113,Inpp4a,"inositol polyphosphate-4-phosphatase, type I"
chr1,40386284,40386541,258,*,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8_peak_7,74,.,5.24089,12.62006,7.45309,104,Distal Intergenic,1,40429570,40446723,17154,1,17082,ENSMUST00000174335.7,-43029,ENSMUSG00000026069,Il1rl1,interleukin 1 receptor-like 1
chr1,40394976,40395159,184,*,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8_peak_8,55,.,6.78823,10.57225,5.59812,94,Distal Intergenic,1,40429570,40446723,17154,1,17082,ENSMUST00000174335.7,-34411,ENSMUSG00000026069,Il1rl1,interleukin 1 receptor-like 1
chr1,40470004,40470150,147,*,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8_peak_9,30,.,5.1686,7.68526,3.04066,73,Promoter (3-4kb),1,40466006,40500854,34849,1,16182,ENSMUST00000108044.3,3998,ENSMUSG00000026070,Il18r1,interleukin 18 receptor 1
chr1,40475737,40475960,224,*,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8_peak_10,61,.,6.14974,11.20838,6.16349,136,"Intron (ENSMUST00000167723.7/16182, intron 4 of 9)",1,40466006,40500854,34849,1,16182,ENSMUST00000108044.3,9731,ENSMUSG00000026070,Il18r1,interleukin 18 receptor 1
