seqnames,start,end,width,strand,V4,V5,V6,V7,V8,V9,V10,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME
chr1,4807645,4808067,423,*,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4_peak_1a,41,.,6.03569,7.86456,4.12502,124,Promoter (<=1kb),1,4807788,4848410,40623,1,18777,ENSMUST00000134384.7,0,ENSMUSG00000025903,Lypla1,lysophospholipase 1
chr1,4807645,4808067,423,*,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4_peak_1b,52,.,6.22312,9.08008,5.21135,340,Promoter (<=1kb),1,4807788,4848410,40623,1,18777,ENSMUST00000134384.7,0,ENSMUSG00000025903,Lypla1,lysophospholipase 1
chr1,6215016,6215172,157,*,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4_peak_2,41,.,5.6753,7.86456,4.12502,52,Promoter (<=1kb),1,6215008,6234010,19003,1,12421,ENSMUST00000160062.7,8,ENSMUSG00000025907,Rb1cc1,RB1-inducible coiled-coil 1
chr1,7088521,7088704,184,*,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4_peak_3,24,.,4.86459,5.95776,2.46459,109,Promoter (<=1kb),1,7088920,7173628,84709,1,319263,ENSMUST00000061280.16,-216,ENSMUSG00000051285,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
chr1,7397737,7398142,406,*,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4_peak_4,166,.,12.10841,21.37209,16.68903,266,"Exon (ENSMUST00000181554.1/ENSMUST00000181554.1, exon 1 of 3)",1,7160557,7172659,12103,1,319263,ENSMUST00000183204.1,237180,ENSMUSG00000051285,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
chr1,7398263,7398545,283,*,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4_peak_5,41,.,6.00277,7.89347,4.12502,88,Distal Intergenic,1,7160557,7172659,12103,1,319263,ENSMUST00000183204.1,237706,ENSMUSG00000051285,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
chr1,7455031,7455187,157,*,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4_peak_6,65,.,7.2239,10.63427,6.51433,76,Distal Intergenic,1,7160557,7172659,12103,1,319263,ENSMUST00000183204.1,294474,ENSMUSG00000051285,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
chr1,9545392,9545582,191,*,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4_peak_7,63,.,7.47729,10.37164,6.32246,103,Promoter (<=1kb),1,9545408,9547455,2048,1,59014,ENSMUST00000072079.8,0,ENSMUSG00000061024,Rrs1,ribosome biogenesis regulator 1
chr1,9700597,9700857,261,*,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4_peak_8a,31,.,5.36456,6.75906,3.13033,83,Promoter (<=1kb),1,9667415,9700209,32795,2,17864,ENSMUST00000088658.10,-388,ENSMUSG00000025912,Mybl1,myeloblastosis oncogene-like 1
chr1,9700597,9700857,261,*,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4_peak_8b,22,.,5.04796,5.68415,2.23937,243,Promoter (<=1kb),1,9667415,9700209,32795,2,17864,ENSMUST00000088658.10,-388,ENSMUSG00000025912,Mybl1,myeloblastosis oncogene-like 1
chr1,9748414,9748611,198,*,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4_peak_9,62,.,7.04857,10.28919,6.25321,129,Promoter (<=1kb),1,9748481,9771256,22776,1,73331,ENSMUST00000191287.6,0,NA,1700034P13Rik,RIKEN cDNA 1700034P13 gene
chr1,9797927,9798278,352,*,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4_peak_10,41,.,6.00277,7.89347,4.12502,104,Promoter (<=1kb),1,9798107,9900843,102737,1,170755,ENSMUST00000166384.7,0,ENSMUSG00000025915,Sgk3,serum/glucocorticoid regulated kinase 3
chr1,9833475,9833738,264,*,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4_peak_11,563,.,27.98306,61.74787,56.39079,131,"Intron (ENSMUST00000166384.7/170755, intron 1 of 16)",1,9848272,9900843,52572,1,170755,ENSMUST00000171265.7,-14534,ENSMUSG00000025915,Sgk3,serum/glucocorticoid regulated kinase 3
chr1,9848141,9848537,397,*,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4_peak_12,78,.,8.03798,12.06849,7.81704,119,Promoter (<=1kb),1,9848272,9900843,52572,1,170755,ENSMUST00000171265.7,0,ENSMUSG00000025915,Sgk3,serum/glucocorticoid regulated kinase 3
chr1,9943911,9944185,275,*,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4_peak_13,113,.,9.63967,15.81498,11.36188,110,Promoter (<=1kb),1,9941959,9944118,2160,2,73824,ENSMUST00000182580.7,0,ENSMUSG00000098234,Snhg6,small nucleolar RNA host gene 6
chr1,9968139,9968330,192,*,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4_peak_14,129,.,9.94315,17.49717,12.95227,118,Promoter (<=1kb),1,9960163,9967932,7770,2,100039596,ENSMUST00000185184.1,-207,ENSMUSG00000099032,Tcf24,transcription factor 24
